id,ax,ay,az
736,10.736,-18.056,999.424
737,11.712,-18.056,1002.84
738,13.176,-15.616,1006.256
739,18.544,-18.056,1009.184
740,15.128,-17.08,1010.16
741,13.176,-17.568,1005.768
742,18.544,-15.128,1005.28
743,9.76,-18.056,1002.352
744,14.64,-17.08,1002.352
745,13.664,-17.08,1004.792
746,14.64,-20.496,1004.792
747,11.712,-17.568,1006.256
748,19.032,-16.104,1001.864
749,12.688,-17.568,1003.328
750,15.616,-21.472,1007.72
751,13.176,-16.592,1004.304
752,12.2,-20.008,1004.304
753,16.592,-20.496,1001.864
754,15.616,-20.008,1002.352
755,11.224,-15.616,1000.888
756,11.224,-16.104,1001.376
757,14.64,-17.08,996.984
758,13.176,-16.592,996.984
759,14.152,-15.616,998.936
760,13.664,-15.128,1004.792
761,12.688,-17.08,1004.792
762,11.224,-16.104,1008.208
763,16.592,-14.64,1004.304
764,11.224,-18.056,1003.328
765,12.2,-17.08,1002.352
766,12.2,-13.664,996.496
767,10.248,-13.664,996.984
768,13.176,-14.64,995.52
769,14.64,-15.616,1002.84
770,12.688,-16.104,996.496
771,15.616,-17.08,1002.352
772,10.736,-17.08,1003.328
773,14.152,-17.08,1003.328
774,14.152,-12.688,1002.84
775,16.104,-13.176,1003.816
776,13.664,-12.2,1003.816
777,15.616,-14.64,1002.352
778,14.152,-17.568,998.936
779,13.176,-13.664,998.448
780,14.64,-16.104,996.008
781,19.032,-20.496,997.472
782,16.104,-14.64,1006.744
783,15.616,-18.544,1006.256
784,17.08,-17.568,1002.84
785,12.2,-17.08,1004.304
786,15.128,-18.056,1000.4
787,15.128,-20.008,1001.864
788,14.152,-17.568,1007.232
789,13.176,-18.544,1007.72
790,18.056,-16.592,1002.352
791,15.616,-15.616,1006.256
792,14.152,-19.032,1001.864
793,13.176,-18.056,1001.864
794,15.128,-20.984,1001.864
795,17.568,-18.544,1004.304
796,12.688,-16.104,1001.864
797,13.664,-13.176,996.496
798,12.688,-14.64,1001.864
799,13.664,-15.616,1003.328
800,13.664,-17.568,1005.28
801,13.176,-16.592,999.424
802,11.224,-17.08,1002.84
803,10.736,-17.568,998.936
804,11.712,-15.616,999.912
805,10.736,-12.688,1003.816
806,11.712,-15.616,1010.16
807,12.688,-16.592,1004.792
808,9.76,-15.616,1000.4
809,13.664,-18.056,998.448
810,7.808,-17.08,1000.4
811,9.272,-19.52,1004.792
812,16.592,-18.056,1004.792
813,14.64,-16.592,1004.792
814,16.104,-18.056,1005.768
815,9.272,-17.568,1002.352
816,12.688,-16.104,1001.864
817,17.08,-16.104,1002.84
818,15.128,-16.104,998.936
819,14.64,-19.032,1006.744
820,13.176,-17.568,1005.28
821,13.176,-16.592,1007.232
822,11.712,-14.152,1003.328
823,15.128,-19.52,1004.304
824,17.08,-18.544,1001.376
825,13.664,-16.104,1002.84
826,13.664,-18.056,1005.28
827,13.176,-16.104,1006.744
828,12.688,-16.104,1002.352
829,17.568,-18.544,999.424
830,17.568,-18.056,1001.864
831,15.128,-17.08,1000.888
832,14.152,-18.544,1005.28
833,10.736,-18.544,1000.888
834,14.64,-17.568,1002.352
835,12.2,-15.616,1000.4
836,11.712,-17.08,999.912
837,13.176,-15.616,999.424
838,16.104,-16.592,1003.816
839,13.664,-17.568,1003.328
840,14.64,-16.104,1001.376
841,9.76,-15.128,997.472
842,15.128,-17.08,1000.4
843,12.2,-11.712,1004.304
844,12.688,-11.224,1002.352
845,13.176,-14.152,1001.376
846,11.224,-15.616,996.984
847,13.176,-16.592,1001.864
848,11.712,-14.152,1002.352
849,9.272,-15.616,1001.376
850,9.76,-16.592,1005.28
851,12.688,-16.592,1006.256
852,13.176,-13.176,1008.208
853,15.616,-16.104,1000.888
854,11.224,-16.104,998.936
855,7.32,-14.64,1001.376
856,14.64,-12.688,1000.888
857,15.128,-15.128,1000.4
858,12.2,-17.08,998.448
859,15.616,-18.544,998.448
860,13.664,-10.736,1002.352
861,16.592,-13.176,999.912
862,10.736,-13.176,997.472
863,14.64,-14.64,1002.352
864,17.08,-18.056,1002.84
865,11.224,-14.64,1003.816
866,14.152,-12.2,1003.816
867,14.152,-16.104,1001.864
868,13.176,-13.176,1003.328
869,17.568,-17.568,1002.352
870,13.664,-14.152,999.424
871,13.176,-11.712,1000.4
872,11.224,-17.568,1002.352
873,13.176,-17.568,1002.84
874,13.664,-16.104,1002.352
875,11.224,-17.08,1002.84
876,12.2,-17.08,1000.4
877,15.616,-13.664,998.936
878,12.2,-18.056,997.96
879,14.152,-20.984,1002.352
880,13.664,-18.056,1005.768
